,Element,k-points,supercell,energy,force,ecut
0,Cu,5,1,-1592.8254215495656,0.0,45
1,Sn,5,1,-4048.4780603795293,5.1422082456156395e-05,45
2,CuSn,5,1,-7234.198125324769,0.0,45
3,Cu3Sn,5,1,-6802.154933006941,2.5711041228078197e-05,45
4,CuSn3,5,1,-7664.477044461032,2.5711041228078197e-05,45
5,Cu,6,1,-1592.66318298806,0.0,45
6,Sn,6,1,-4048.5191042807146,0.00010284416491231279,45
7,CuSn,6,1,-7234.242728612623,0.0,45
8,Cu3Sn,6,1,-6802.150313600334,0.0001542662473684692,45
9,CuSn3,6,1,-7664.55027726693,0.0,45
10,Cu,7,1,-1592.7656509016197,0.0,45
11,Sn,7,1,-4048.5377198689225,7.71331236842346e-05,45
12,CuSn,7,1,-7234.249937863858,0.0,45
13,Cu3Sn,7,1,-6802.145832563676,2.5711041228078197e-05,45
14,CuSn3,7,1,-7664.50861036083,0.0,45
15,Cu,8,1,-1592.692029380929,0.0,45
16,Sn,8,1,-4048.5467027589566,7.71331236842346e-05,45
17,CuSn,8,1,-7234.258522379054,0.0,45
18,Cu3Sn,8,1,-6802.154532183076,2.5711041228078197e-05,45
19,CuSn3,8,1,-7664.532552307718,0.0,45
20,Cu,9,1,-1592.7376117348174,0.0,45
21,Sn,9,1,-4048.551006241255,5.1422082456156395e-05,45
22,CuSn,9,1,-7234.252147973452,0.0,45
23,Cu3Sn,9,1,-6802.162548388263,2.5711041228078197e-05,45
24,CuSn3,9,1,-7664.529318641458,0.0,45
25,Cu,10,1,-1592.7099622352075,0.0,45
26,Sn,10,1,-4048.5530649194293,5.1422082456156395e-05,45
27,CuSn,10,1,-7234.244757086149,0.0,45
28,Cu3Sn,10,1,-6802.159892283887,0.0,45
29,CuSn3,10,1,-7664.532409720002,0.0,45
30,Cu,11,1,-1592.7290904861186,0.0,45
31,Sn,11,1,-4048.554027658625,5.1422082456156395e-05,45
32,CuSn,11,1,-7234.248738793688,0.0,45
33,Cu3Sn,11,1,-6802.155200767079,2.5711041228078197e-05,45
34,CuSn3,11,1,-7664.5255717682685,0.0,45
35,Cu,12,1,-1592.7197708550575,0.0,45
36,Sn,12,1,-4048.5543967812127,5.1422082456156395e-05,45
37,CuSn,12,1,-7234.25224851956,0.0,45
38,Cu3Sn,12,1,-6802.156806239451,0.0,45
39,CuSn3,12,1,-7664.523129953636,0.0,45
40,Cu,13,1,-1592.7251845623177,0.0,45
41,Sn,13,1,-4048.5544356935093,5.1422082456156395e-05,45
42,CuSn,13,1,-7234.25154156749,0.0,45
43,Cu3Sn,13,1,-6802.158467495185,2.5711041228078197e-05,45
44,CuSn3,13,1,-7664.524675016709,0.0,45
