,Unnamed: 0,Element,k-points,supercell,energy,force,ecut,num_cu,num_sn,num_atom,con_formation_energy_per_atom,formation_energy_per_atom
4,4,CuSn3,2,1,-7662.647729920151,0.0002056883298246256,45,1,3,4,0.727060306837302,-0.503170262693402
3,3,Cu3Sn,2,1,-6800.021893978251,0.0002056883298246256,45,3,1,4,0.607069172553679,-1.2037048665670795
2,2,CuSn,2,1,-7233.419826197114,0.0,45,2,2,4,0.145811177717178,-1.3746911266085817
1,1,Sn,2,1,-4046.6745180240373,5.14220824561564e-05,45,0,2,2,0.9399588347357621,0.0
0,0,Cu,2,1,-1590.6232718333213,0.0,45,1,0,1,2.1010457739157573,0.0
9,9,CuSn3,3,1,-7664.411309619282,2.57110412280782e-05,45,1,3,4,0.2861653820543779,0.16978217276982832
8,8,Cu3Sn,3,1,-6801.8833593278905,0.00015426624736846918,45,3,1,4,0.1417028351437466,0.3221767736246761
7,7,CuSn,3,1,-7234.144935480862,0.0,45,2,2,4,-0.03546614321976449,-0.003420778621602949
6,6,Sn,3,1,-4048.024812127174,0.00030853249473693835,45,0,2,2,0.2648117831674881,0.0
5,5,Cu,3,1,-1593.0532201196008,0.0,45,1,0,1,-0.3289025123638112,0.0
14,14,CuSn3,4,1,-7664.5342732924655,5.14220824561564e-05,45,1,3,4,0.25542446375857253,0.14532433182625937
12,12,CuSn,4,1,-7234.214876796285,0.0,45,2,2,4,-0.05295147207561968,-0.18257873997197294
11,11,Sn,4,1,-4048.373289701572,0.00033424353596501653,45,0,2,2,0.09057299596838675,0.0
10,10,Cu,4,1,-1592.5556360674127,0.0,45,1,0,1,0.16868153982431977,0.0
13,13,Cu3Sn,4,1,-6802.125701708875,0.0002056883298246256,45,3,1,4,0.0811172398977078,-0.06803716396262871
0,0,Cu,5,1,-1592.8254215495654,0.0,45,1,0,1,-0.10110394232833642,0.0
1,1,Sn,5,1,-4048.478060379529,5.14220824561564e-05,45,0,2,2,0.03818765698997595,0.0
4,4,CuSn3,5,1,-7664.477044461031,2.57110412280782e-05,45,1,3,4,0.2697316716171372,0.2663669144567393
3,3,Cu3Sn,5,1,-6802.154933006941,2.57110412280782e-05,45,3,1,4,0.07380941538110619,0.14009045787986452
2,2,CuSn,5,1,-7234.1981253247695,0.0,45,2,2,4,-0.048763604196665256,-0.017305461527485022
9,9,CuSn3,6,1,-7664.55027726693,0.0,45,1,3,4,0.25142347014252664,0.22289053555050486
8,8,Cu3Sn,6,1,-6802.150313600335,0.00015426624736846918,45,3,1,4,0.07496426703266934,0.02469687605071158
7,7,CuSn,6,1,-7234.242728612623,0.0,45,2,2,4,-0.059914426160048606,-0.09931458894709522
6,6,Sn,6,1,-4048.5191042807146,0.0001028441649123128,45,0,2,2,0.017665706397110625,0.0
5,5,Cu,6,1,-1592.66318298806,0.0,45,1,0,1,0.061134619176982596,0.0
11,11,Sn,7,1,-4048.5377198689225,7.713312368423459e-05,45,0,2,2,0.008357912293149639,0.0
10,10,Cu,7,1,-1592.7656509016197,0.0,45,1,0,1,-0.041333294382638996,0.0
14,14,CuSn3,7,1,-7664.50861036083,0.0,45,1,3,4,0.2618401966674355,0.26590508604340357
12,12,CuSn,7,1,-7234.249937863858,0.0,45,2,2,4,-0.06171673896869834,-0.04522904792395366
13,13,Cu3Sn,7,1,-6802.145832563676,2.57110412280782e-05,45,3,1,4,0.07608452619740547,0.1049950189110973
15,15,Cu,8,1,-1592.692029380929,0.0,45,1,0,1,0.03228822630808281,0.0
19,19,CuSn3,8,1,-7664.532552307718,0.0,45,1,3,4,0.2558547099454245,0.2448828029116612
18,18,Cu3Sn,8,1,-6802.154532183076,2.57110412280782e-05,45,3,1,4,0.07390962134729762,0.04872683479726447
17,17,CuSn,8,1,-7234.258522379054,0.0,45,2,2,4,-0.06386286776773886,-0.08194021455972234
16,16,Sn,8,1,-4048.546702758957,7.713312368423459e-05,45,0,2,2,0.0038664672758841334,0.0
24,24,CuSn3,9,1,-7664.529318641457,0.0,45,1,3,4,0.2566631265106025,0.2587006138107881
23,23,Cu3Sn,9,1,-6802.162548388263,2.57110412280782e-05,45,3,1,4,0.07190557005071696,0.08144748420420456
22,22,CuSn,9,1,-7234.252147973452,0.0,45,2,2,4,-0.06226926636736607,-0.05647956564064316
21,21,Sn,9,1,-4048.551006241255,5.14220824561564e-05,45,0,2,2,0.0017147261269201408,0.0
20,20,Cu,9,1,-1592.7376117348174,0.0,45,1,0,1,-0.013294127580365966,0.0
28,28,Cu3Sn,10,1,-6802.159892283887,0.0,45,3,1,4,0.07256959614471725,0.061631720362697706
27,27,CuSn,10,1,-7234.244757086149,0.0,45,2,2,4,-0.06042154454144111,-0.06794192407619448
26,26,Sn,10,1,-4048.553064919429,5.14220824561564e-05,45,0,2,2,0.0006853870399936568,0.0
25,25,Cu,10,1,-1592.7099622352075,0.0,45,1,0,1,0.014355372029513092,0.0
29,29,CuSn3,10,1,-7664.532409720003,0.0,45,1,3,4,0.25589035687426076,0.25178747358677356
31,31,Sn,11,1,-4048.554027658625,5.14220824561564e-05,45,0,2,2,0.0002040174420017138,0.0
30,30,Cu,11,1,-1592.7290904861184,0.0,45,1,0,1,-0.004772878881340148,0.0
32,32,CuSn,11,1,-7234.248738793688,0.0,45,2,2,4,-0.061416971426297096,-0.05913254070662788
33,33,Cu3Sn,11,1,-6802.155200767079,2.57110412280782e-05,45,3,1,4,0.07374247534664846,0.07727113014715314
34,34,CuSn3,11,1,-7664.525571768269,0.0,45,1,3,4,0.2575998448076007,0.25864005144649127
37,37,CuSn,12,1,-7234.2522485195595,0.0,45,2,2,4,-0.06229440289416743,-0.0645775070580612
35,35,Cu,12,1,-1592.7197708550573,0.0,45,1,0,1,0.004546752179749092,0.0
36,36,Sn,12,1,-4048.5543967812127,5.14220824561564e-05,45,0,2,2,1.9456148038443644e-05,0.0
39,39,CuSn3,12,1,-7664.523129953636,0.0,45,1,3,4,0.25821029846588317,0.2570590183102013
38,38,Cu3Sn,12,1,-6802.156806239451,0.0,45,3,1,4,0.07334110725366827,0.06992617908179
40,40,Cu,13,1,-1592.7251845623175,0.0,45,1,0,1,-0.0008669550804825121,0.0
41,41,Sn,13,1,-4048.554435693509,5.14220824561564e-05,45,0,2,2,0.0,0.0
42,42,CuSn,13,1,-7234.251541567491,0.0,45,2,2,4,-0.062117664876950585,-0.06168418733670933
43,43,Cu3Sn,13,1,-6802.1584674951855,2.57110412280782e-05,45,3,1,4,0.07292579331999605,0.07357600963030109
