,Element,k-points,supercell,energy,force,ecut
0,Cu,2,1,-6621.4682852194965,0.0,45
1,Sn,2,1,-12050.864678713406,0.0006684870719300331,45
2,CuSn,2,1,-25298.877942863597,0.0,45
3,Cu3Sn,2,1,-25894.369778356977,0.00017997728859654738,45
4,CuSn3,2,1,-24699.7684893999,0.000128555206140391,45
5,Cu,3,1,-6623.725486447312,0.0,45
6,Sn,3,1,-12052.229964799184,0.0005656429070177204,45
7,CuSn,3,1,-25299.49814786143,0.0,45
8,Cu3Sn,3,1,-25896.093014576265,5.1422082456156395e-05,45
9,CuSn3,3,1,-24701.457038980418,0.00017997728859654738,45
10,Cu,4,1,-6623.285900492726,0.0,45
11,Sn,4,1,-12052.567997959462,0.00035995457719309475,45
12,CuSn,4,1,-25299.55594146539,0.0,45
13,Cu3Sn,4,1,-25896.396071976695,2.5711041228078197e-05,45
14,CuSn3,4,1,-24701.596431670074,0.000128555206140391,45
