,Element,k-points,supercell,energy,force,ecut
0,Cu,6,1,-6623.274370616014,0.0,45
1,Sn,6,1,-12052.712517820377,0.00035995457719309475,45
2,Cu,7,1,-6623.418874694318,0.0,45
3,Sn,7,1,-12052.729327660338,0.00035995457719309475,45
4,Cu,8,1,-6623.381550863099,0.0,45
5,Sn,8,1,-12052.73758645512,0.00033424353596501653,45
6,Cu,9,1,-6623.404503811793,0.0,45
7,Sn,9,1,-12052.741171828675,0.00035995457719309475,45
8,Cu,10,1,-6623.385565496427,0.0,45
9,Sn,10,1,-12052.742925875269,0.00035995457719309475,45
10,Cu,11,1,-6623.399592971134,0.0,45
11,Sn,11,1,-12052.743867797746,0.00035995457719309475,45
12,Cu,12,1,-6623.379522525631,0.0,45
13,Sn,12,1,-12052.744211885853,0.00035995457719309475,45
14,Cu,13,1,-6623.400788503822,0.0,45
15,Sn,13,1,-12052.744304948827,0.00035995457719309475,45
16,Cu,14,1,-6623.3963676043495,0.0,45
17,Sn,14,1,-12052.744181409087,0.00035995457719309475,45
