,Element,k-points,supercell,energy,force,ecut
0,CuSn,9,1,-25299.584482138223,0.0,45
1,Cu3Sn,9,1,-25896.326928771523,0.0,45
2,CuSn3,9,1,-24701.58006850518,0.00023139937105270378,45
3,CuSn,10,1,-25299.574124120285,0.0,45
4,Cu3Sn,10,1,-25896.3218928945,0.0,45
5,CuSn3,10,1,-24701.586141408512,0.00023139937105270378,45
6,CuSn,11,1,-25299.58332279669,0.0,45
7,Cu3Sn,11,1,-25896.32761341025,2.5711041228078197e-05,45
8,CuSn3,11,1,-24701.576932527834,5.1422082456156395e-05,45
9,CuSn,12,1,-25299.584865274683,0.0,45
10,Cu3Sn,12,1,-25896.337040526327,2.5711041228078197e-05,45
11,CuSn3,12,1,-24701.575830194175,0.00010284416491231279,45
12,CuSn,13,1,-25299.584024850712,0.0,45
13,Cu3Sn,13,1,-25896.318179899496,2.5711041228078197e-05,45
14,CuSn3,13,1,-24701.577626826605,0.00017997728859654738,45
