,Element,k-points,supercell,energy,force,ecut
0,CuSn,5,1,-25299.528452240906,0.0,45
1,Cu3Sn,5,1,-25896.279363659254,0.0,45
2,CuSn3,5,1,-24701.538888274903,5.1422082456156395e-05,45
3,CuSn,6,1,-25299.591478460283,0.0,45
4,Cu3Sn,6,1,-25896.306848393862,0.0,45
5,CuSn3,6,1,-24701.60896796027,7.71331236842346e-05,45
6,CuSn,7,1,-25299.564481626014,0.0,45
7,Cu3Sn,7,1,-25896.34295519539,5.1422082456156395e-05,45
8,CuSn3,7,1,-24701.560099558188,0.00020568832982462558,45
9,CuSn,8,1,-25299.594969410293,0.0,45
10,Cu3Sn,8,1,-25896.315281205523,0.0,45
11,CuSn3,8,1,-24701.586708085837,0.00023139937105270378,45
