,Element,Unnamed: 0,Unnamed: 0.1,ecut,energy,force,k-points,supercell,num_cu,num_sn,num_atom,con_formation_energy_per_atom,formation_energy_per_atom
0,Cu,0,,45,-6621.468285219497,0.0,2,1,1,0,1,1.9277494534198922,0.0
4,CuSn3,4,,45,-24699.768489399903,0.000128555206140391,2,1,1,3,4,0.6859543466616742,-0.5007965275744937
3,Cu3Sn,3,,45,-25894.369778356977,0.00017997728859654738,2,1,3,1,4,0.5476040915793874,-1.133145835445248
2,CuSn,2,,45,-25298.877942863597,0.0,2,1,2,2,4,0.16457697283112793,-1.26917342779916
1,Sn,1,,45,-12050.864678713406,0.0006684870719300331,2,1,0,2,2,0.9397513478406836,0.0
7,CuSn,7,,45,-25299.49814786143,0.0,3,1,2,2,4,0.00952572337246238,0.04569745809385495
9,CuSn3,9,,45,-24701.457038980414,0.00017997728859654738,3,1,1,3,4,0.2638169515339541,0.15334866641842382
8,Cu3Sn,8,,45,-25896.093014576265,5.14220824561564e-05,3,1,3,1,4,0.11679503675736669,0.29960679131568213
6,Sn,6,,45,-12052.229964799184,0.0005656429070177204,3,1,0,2,2,0.2571083049515437,0.0
5,Cu,5,,45,-6623.725486447312,0.0,3,1,1,0,1,-0.3294517743943288,0.0
14,CuSn3,14,,45,-24701.596431670077,0.000128555206140391,4,1,1,3,4,0.22896877911807678,0.1353664404605297
13,Cu3Sn,13,,45,-25896.396071976695,2.57110412280782e-05,4,1,3,1,4,0.0410306866499468,-0.06359287969667093
12,CuSn,12,,45,-25299.55594146539,0.0,4,1,2,2,4,-0.004922677617287263,-0.1040356301191423
11,Sn,11,,45,-12052.567997959462,0.00035995457719309475,4,1,0,2,2,0.08809172481232963,0.0
10,Cu,10,,45,-6623.285900492726,0.0,4,1,1,0,1,0.11013418019138044,0.0
0,CuSn3,32,2.0,45,-24701.538888274903,5.1422082456156395e-05,5,1,1,3,4,0.24335462791168538,0.247809218493785
0,Sn,0,,45,-12052.671996241941,0.00035995457719309475,5,1,0,2,2,0.036092583573008596,0.0
1,Cu,1,,45,-6623.5221307859665,0.0,5,1,1,0,1,-0.12609611304924329,0.0
2,CuSn,30,0.0,45,-25299.528452240902,0.0,5,1,2,2,4,0.0019496285049172002,0.046951393243034545
1,Cu3Sn,31,1.0,45,-25896.279363659254,0.0,5,1,3,1,4,0.07020776601007128,0.15575670490352422
7,Sn,1,1.0,45,-12052.712517820375,0.00035995457719309475,6,1,0,2,2,0.01583179435601778,0.0
3,Cu,0,0.0,45,-6623.2743706160145,0.0,6,1,1,0,1,0.12166405690277315,0.0
6,CuSn,33,3.0,45,-25299.591478460283,0.0,6,1,2,2,4,-0.013806926340294012,-0.08255485196968948
5,Cu3Sn,34,4.0,45,-25896.306848393862,0.0,6,1,3,1,4,0.06333658235803341,-0.03186940890782353
4,CuSn3,35,5.0,45,-24701.60896796027,7.713312368423459e-05,6,1,1,3,4,0.22583470656991267,0.18354484657720604
12,Sn,3,3.0,45,-12052.729327660338,0.00035995457719309475,7,1,0,2,2,0.007426874374687031,0.0
11,Cu,2,2.0,45,-6623.418874694316,0.0,7,1,1,0,1,-0.022840021399133548,0.0
10,CuSn,36,6.0,45,-25299.56448162601,0.0,7,1,2,2,4,-0.007057717772113392,0.000648855740109866
9,CuSn3,38,8.0,45,-24701.560099558188,0.00020568832982462558,7,1,1,3,4,0.2380518070904145,0.23819165665827313
8,Cu3Sn,37,7.0,45,-25896.342955195392,5.1422082456156395e-05,7,1,3,1,4,0.05430988197554143,0.06958317943099246
15,CuSn,39,9.0,45,-25299.594969410293,0.0,8,1,2,2,4,-0.014679663842798618,-0.023570307243062416
17,Sn,5,5.0,45,-12052.73758645512,0.00033424353596501653,8,1,0,2,2,0.003297476983789238,0.0
13,CuSn3,41,11.0,45,-24701.58670808584,0.0002313993710527037,8,1,1,3,4,0.231399675177272,0.22530561498479074
16,Cu,4,4.0,45,-6623.3815508631005,0.0,8,1,1,0,1,0.014483809816738358,0.0
14,Cu3Sn,40,10.0,45,-25896.315281205523,0.0,8,1,3,1,4,0.061228379442809455,0.04954115283430838
18,CuSn3,44,2.0,45,-24701.58006850518,0.0002313993710527037,9,1,1,3,4,0.23305957034244784,0.23404826240675902
19,Cu3Sn,43,1.0,45,-25896.326928771523,0.0,9,1,3,1,4,0.05831648794287503,0.06429214454897192
20,CuSn,42,0.0,45,-25299.584482138223,0.0,9,1,2,2,4,-0.012057845825438562,-0.008575671490234527
21,Cu,6,6.0,45,-6623.404503811793,0.0,9,1,1,0,1,-0.008469138875625504,0.0
